iter,start,end
0, 2019-10-27 08:19:48.677822,2019-10-27 08:19:51.161647
1, 2019-10-27 08:19:51.161647,2019-10-27 08:19:52.551910
2, 2019-10-27 08:19:52.551910,2019-10-27 08:19:53.942207
3, 2019-10-27 08:19:53.942207,2019-10-27 08:19:55.316885
4, 2019-10-27 08:19:55.316885,2019-10-27 08:19:56.707183
5, 2019-10-27 08:19:56.707183,2019-10-27 08:19:58.081860
6, 2019-10-27 08:19:58.081860,2019-10-27 08:19:59.472158
7, 2019-10-27 08:19:59.472158,2019-10-27 08:20:00.846885
8, 2019-10-27 08:20:00.846885,2019-10-27 08:20:02.237204
9, 2019-10-27 08:20:02.237204,2019-10-27 08:20:03.611878
10, 2019-10-27 08:20:03.611878,2019-10-27 08:20:04.986566
11, 2019-10-27 08:20:04.986566,2019-10-27 08:20:06.361205
12, 2019-10-27 08:20:06.361205,2019-10-27 08:20:07.751528
13, 2019-10-27 08:20:07.751528,2019-10-27 08:20:09.141828
14, 2019-10-27 08:20:09.141828,2019-10-27 08:20:10.516503
15, 2019-10-27 08:20:10.516503,2019-10-27 08:20:11.891181
16, 2019-10-27 08:20:11.891181,2019-10-27 08:20:13.265857
17, 2019-10-27 08:20:13.265857,2019-10-27 08:20:14.656155
18, 2019-10-27 08:20:14.656155,2019-10-27 08:20:16.030765
19, 2019-10-27 08:20:16.030765,2019-10-27 08:20:17.405442
