(1997, 'UNITED ST0', 'MFGR#141 ', 18396972.0)
(1997, 'UNITED ST0', 'MFGR#1410', 21005375.0)
(1997, 'UNITED ST0', 'MFGR#1411', 17301707.0)
(1997, 'UNITED ST0', 'MFGR#1412', 10204133.0)
(1997, 'UNITED ST0', 'MFGR#1413', 15795139.0)
(1997, 'UNITED ST0', 'MFGR#1414', 24272524.0)
(1997, 'UNITED ST0', 'MFGR#1415', 21459980.0)
(1997, 'UNITED ST0', 'MFGR#1416', 13680504.0)
(1997, 'UNITED ST0', 'MFGR#1417', 11145618.0)
(1997, 'UNITED ST0', 'MFGR#1418', 11853846.0)
(1997, 'UNITED ST0', 'MFGR#1419', 25322812.0)
(1997, 'UNITED ST0', 'MFGR#142 ', 18991805.0)
(1997, 'UNITED ST0', 'MFGR#1420', 33901394.0)
(1997, 'UNITED ST0', 'MFGR#1421', 19445511.0)
(1997, 'UNITED ST0', 'MFGR#1422', 28016336.0)
(1997, 'UNITED ST0', 'MFGR#1423', 13647369.0)
(1997, 'UNITED ST0', 'MFGR#1424', 21893381.0)
(1997, 'UNITED ST0', 'MFGR#1425', 25942341.0)
(1997, 'UNITED ST0', 'MFGR#1426', 12510200.0)
(1997, 'UNITED ST0', 'MFGR#1427', 47365335.0)
(1997, 'UNITED ST0', 'MFGR#1428', 35693925.0)
(1997, 'UNITED ST0', 'MFGR#1429', 12929898.0)
(1997, 'UNITED ST0', 'MFGR#143 ', 25179698.0)
(1997, 'UNITED ST0', 'MFGR#1430', 11709174.0)
(1997, 'UNITED ST0', 'MFGR#1431', 33829355.0)
(1997, 'UNITED ST0', 'MFGR#1432', 21796828.0)
(1997, 'UNITED ST0', 'MFGR#1433', 26652927.0)
(1997, 'UNITED ST0', 'MFGR#1434', 21207618.0)
(1997, 'UNITED ST0', 'MFGR#1435', 17017671.0)
(1997, 'UNITED ST0', 'MFGR#1436', 25276113.0)
(1997, 'UNITED ST0', 'MFGR#1437', 9344816.0)
(1997, 'UNITED ST0', 'MFGR#1438', 18523790.0)
(1997, 'UNITED ST0', 'MFGR#1439', 35353625.0)
(1997, 'UNITED ST0', 'MFGR#144 ', 18416705.0)
(1997, 'UNITED ST0', 'MFGR#1440', 21691440.0)
(1997, 'UNITED ST0', 'MFGR#145 ', 20313704.0)
(1997, 'UNITED ST0', 'MFGR#146 ', 17506106.0)
(1997, 'UNITED ST0', 'MFGR#147 ', 11632989.0)
(1997, 'UNITED ST0', 'MFGR#148 ', 23254790.0)
(1997, 'UNITED ST0', 'MFGR#149 ', 45403106.0)
(1997, 'UNITED ST1', 'MFGR#141 ', 36821261.0)
(1997, 'UNITED ST1', 'MFGR#1410', 39104994.0)
(1997, 'UNITED ST1', 'MFGR#1411', 7490783.0)
(1997, 'UNITED ST1', 'MFGR#1412', 14801548.0)
(1997, 'UNITED ST1', 'MFGR#1413', 50116236.0)
(1997, 'UNITED ST1', 'MFGR#1414', 20052148.0)
(1997, 'UNITED ST1', 'MFGR#1415', 27405135.0)
(1997, 'UNITED ST1', 'MFGR#1416', 32184906.0)
(1997, 'UNITED ST1', 'MFGR#1417', 21717053.0)
(1997, 'UNITED ST1', 'MFGR#1418', 13054578.0)
(1997, 'UNITED ST1', 'MFGR#1419', 31826141.0)
(1997, 'UNITED ST1', 'MFGR#142 ', 25904826.0)
(1997, 'UNITED ST1', 'MFGR#1420', 46353781.0)
(1997, 'UNITED ST1', 'MFGR#1421', 7852588.0)
(1997, 'UNITED ST1', 'MFGR#1422', 27688788.0)
(1997, 'UNITED ST1', 'MFGR#1423', 16069131.0)
