(1997, 'UNITED ST0', 'MFGR#1410', 2963.0)
(1997, 'UNITED ST0', 'MFGR#1411', 6205996.0)
(1997, 'UNITED ST0', 'MFGR#1412', 688759.0)
(1997, 'UNITED ST0', 'MFGR#1415', -81867.0)
(1997, 'UNITED ST0', 'MFGR#1417', 6447291.0)
(1997, 'UNITED ST0', 'MFGR#1420', 4251714.0)
(1997, 'UNITED ST0', 'MFGR#1423', 4463114.0)
(1997, 'UNITED ST0', 'MFGR#1424', 10821450.0)
(1997, 'UNITED ST0', 'MFGR#1425', 6244152.0)
(1997, 'UNITED ST0', 'MFGR#1430', 5070566.0)
(1997, 'UNITED ST0', 'MFGR#1431', -112254.0)
(1997, 'UNITED ST0', 'MFGR#1432', 5363490.0)
(1997, 'UNITED ST0', 'MFGR#1434', 5820771.0)
(1997, 'UNITED ST0', 'MFGR#1437', 3330326.0)
(1997, 'UNITED ST0', 'MFGR#1440', 6280419.0)
(1997, 'UNITED ST0', 'MFGR#146 ', 844478.0)
(1997, 'UNITED ST0', 'MFGR#148 ', 2238418.0)
(1997, 'UNITED ST0', 'MFGR#149 ', 922985.0)
(1997, 'UNITED ST1', 'MFGR#1410', 753855.0)
(1997, 'UNITED ST1', 'MFGR#1411', 6233551.0)
(1997, 'UNITED ST1', 'MFGR#1412', 5863252.0)
(1997, 'UNITED ST1', 'MFGR#1413', 2804680.0)
(1997, 'UNITED ST1', 'MFGR#1417', 5398566.0)
(1997, 'UNITED ST1', 'MFGR#1418', 8553782.0)
(1997, 'UNITED ST1', 'MFGR#1420', 1091104.0)
(1997, 'UNITED ST1', 'MFGR#1422', 2747797.0)
(1997, 'UNITED ST1', 'MFGR#1425', 1975132.0)
(1997, 'UNITED ST1', 'MFGR#1428', 3727785.0)
(1997, 'UNITED ST1', 'MFGR#143 ', 4495401.0)
(1997, 'UNITED ST1', 'MFGR#1434', 6140537.0)
(1997, 'UNITED ST1', 'MFGR#1439', 4577158.0)
(1997, 'UNITED ST1', 'MFGR#145 ', -115376.0)
(1997, 'UNITED ST1', 'MFGR#146 ', -68229.0)
(1997, 'UNITED ST2', 'MFGR#141 ', -73452.0)
(1997, 'UNITED ST2', 'MFGR#1411', 3352204.0)
(1997, 'UNITED ST2', 'MFGR#1418', -187506.0)
(1997, 'UNITED ST2', 'MFGR#1421', 842061.0)
(1997, 'UNITED ST2', 'MFGR#1423', 1189122.0)
(1997, 'UNITED ST2', 'MFGR#1425', 6561150.0)
(1997, 'UNITED ST2', 'MFGR#1426', 549073.0)
(1997, 'UNITED ST2', 'MFGR#1427', 4028226.0)
(1997, 'UNITED ST2', 'MFGR#1428', 5144298.0)
(1997, 'UNITED ST2', 'MFGR#1429', -95254.0)
(1997, 'UNITED ST2', 'MFGR#143 ', 4751624.0)
(1997, 'UNITED ST2', 'MFGR#1432', 399777.0)
(1997, 'UNITED ST2', 'MFGR#1433', 1070644.0)
(1997, 'UNITED ST2', 'MFGR#1435', 972077.0)
(1997, 'UNITED ST2', 'MFGR#1437', 6515678.0)
(1997, 'UNITED ST2', 'MFGR#144 ', 1870895.0)
(1997, 'UNITED ST2', 'MFGR#149 ', 6572887.0)
(1997, 'UNITED ST3', 'MFGR#141 ', 3769405.0)
(1997, 'UNITED ST3', 'MFGR#1411', 13368315.0)
(1997, 'UNITED ST3', 'MFGR#1415', 3785205.0)
(1997, 'UNITED ST3', 'MFGR#1417', -99577.0)
(1997, 'UNITED ST3', 'MFGR#1418', 1426930.0)
(1997, 'UNITED ST3', 'MFGR#1419', 2298392.0)
(1997, 'UNITED ST3', 'MFGR#142 ', 3831978.0)
(1997, 'UNITED ST3', 'MFGR#1423', 7505710.0)
(1997, 'UNITED ST3', 'MFGR#1424', 7248192.0)
(1997, 'UNITED ST3', 'MFGR#1429', 2229470.0)
(1997, 'UNITED ST3', 'MFGR#1430', 1312533.0)
(1997, 'UNITED ST3', 'MFGR#1431', 8216499.0)
(1997, 'UNITED ST3', 'MFGR#1432', -58140.0)
(1997, 'UNITED ST3', 'MFGR#1433', 1176723.0)
(1997, 'UNITED ST3', 'MFGR#1434', 2787631.0)
(1997, 'UNITED ST3', 'MFGR#1438', 2716799.0)
(1997, 'UNITED ST3', 'MFGR#1439', 8141667.0)
(1997, 'UNITED ST3', 'MFGR#144 ', 3205267.0)
(1997, 'UNITED ST3', 'MFGR#146 ', 7115470.0)
(1997, 'UNITED ST3', 'MFGR#147 ', 4407983.0)
(1997, 'UNITED ST3', 'MFGR#148 ', 5589818.0)
(1997, 'UNITED ST4', 'MFGR#1410', -121075.0)
(1997, 'UNITED ST4', 'MFGR#1412', 5082434.0)
(1997, 'UNITED ST4', 'MFGR#1416', 3633098.0)
(1997, 'UNITED ST4', 'MFGR#1418', 6189806.0)
(1997, 'UNITED ST4', 'MFGR#1419', 3481537.0)
(1997, 'UNITED ST4', 'MFGR#1420', 2815578.0)
(1997, 'UNITED ST4', 'MFGR#1421', 9325330.0)
(1997, 'UNITED ST4', 'MFGR#1423', 4272764.0)
(1997, 'UNITED ST4', 'MFGR#1424', 4738910.0)
(1997, 'UNITED ST4', 'MFGR#1425', 6501134.0)
(1997, 'UNITED ST4', 'MFGR#1426', 665380.0)
(1997, 'UNITED ST4', 'MFGR#1427', 9978455.0)
(1997, 'UNITED ST4', 'MFGR#1428', 3180897.0)
(1997, 'UNITED ST4', 'MFGR#1431', 3436728.0)
(1997, 'UNITED ST4', 'MFGR#1439', 762024.0)
(1997, 'UNITED ST4', 'MFGR#1440', 1631883.0)
(1997, 'UNITED ST4', 'MFGR#145 ', 3952900.0)
(1997, 'UNITED ST4', 'MFGR#148 ', 1088653.0)
(1997, 'UNITED ST4', 'MFGR#149 ', 2278494.0)
(1997, 'UNITED ST5', 'MFGR#141 ', -69364.0)
(1997, 'UNITED ST5', 'MFGR#1410', 5096358.0)
(1997, 'UNITED ST5', 'MFGR#1413', 2525843.0)
(1997, 'UNITED ST5', 'MFGR#1414', 2543017.0)
(1997, 'UNITED ST5', 'MFGR#1415', -94537.0)
(1997, 'UNITED ST5', 'MFGR#1416', 9717611.0)
(1997, 'UNITED ST5', 'MFGR#1417', 8881656.0)
(1997, 'UNITED ST5', 'MFGR#1419', -72433.0)
(1997, 'UNITED ST5', 'MFGR#142 ', 52606.0)
(1997, 'UNITED ST5', 'MFGR#1421', -117718.0)
(1997, 'UNITED ST5', 'MFGR#1422', 2744232.0)
(1997, 'UNITED ST5', 'MFGR#1428', 4421576.0)
(1997, 'UNITED ST5', 'MFGR#1429', 910450.0)
(1997, 'UNITED ST5', 'MFGR#1430', 7439724.0)
(1997, 'UNITED ST5', 'MFGR#1431', 301530.0)
(1997, 'UNITED ST5', 'MFGR#1436', 6525391.0)
(1997, 'UNITED ST5', 'MFGR#144 ', -65526.0)
(1997, 'UNITED ST5', 'MFGR#1440', 2677860.0)
(1997, 'UNITED ST5', 'MFGR#147 ', 2885411.0)
(1997, 'UNITED ST5', 'MFGR#148 ', 1199437.0)
(1997, 'UNITED ST6', 'MFGR#141 ', 5748427.0)
(1997, 'UNITED ST6', 'MFGR#1410', 4100795.0)
(1997, 'UNITED ST6', 'MFGR#1412', -107512.0)
(1997, 'UNITED ST6', 'MFGR#1414', 3183154.0)
(1997, 'UNITED ST6', 'MFGR#1415', 5231814.0)
(1997, 'UNITED ST6', 'MFGR#1416', 9968387.0)
(1997, 'UNITED ST6', 'MFGR#1417', -154361.0)
(1997, 'UNITED ST6', 'MFGR#1419', 16035981.0)
(1997, 'UNITED ST6', 'MFGR#1420', 7561263.0)
(1997, 'UNITED ST6', 'MFGR#1422', 1418551.0)
(1997, 'UNITED ST6', 'MFGR#1423', -121017.0)
(1997, 'UNITED ST6', 'MFGR#1425', 2158480.0)
(1997, 'UNITED ST6', 'MFGR#1427', 6593652.0)
(1997, 'UNITED ST6', 'MFGR#1428', 5169515.0)
(1997, 'UNITED ST6', 'MFGR#143 ', 107085.0)
(1997, 'UNITED ST6', 'MFGR#1430', 3439311.0)
(1997, 'UNITED ST6', 'MFGR#1432', -68106.0)
(1997, 'UNITED ST6', 'MFGR#1433', 6747763.0)
(1997, 'UNITED ST6', 'MFGR#1436', -104928.0)
(1997, 'UNITED ST6', 'MFGR#1438', 944430.0)
(1997, 'UNITED ST6', 'MFGR#1439', 3949762.0)
(1997, 'UNITED ST6', 'MFGR#1440', 2866139.0)
