Row(sum(lo_revenue)=569322336.0, d_year=1992, p_brand1='MFGR#2221')
Row(sum(lo_revenue)=497899339.0, d_year=1992, p_brand1='MFGR#2222')
Row(sum(lo_revenue)=489520608.0, d_year=1992, p_brand1='MFGR#2223')
Row(sum(lo_revenue)=442244860.0, d_year=1992, p_brand1='MFGR#2224')
Row(sum(lo_revenue)=559448524.0, d_year=1992, p_brand1='MFGR#2225')
Row(sum(lo_revenue)=601672698.0, d_year=1992, p_brand1='MFGR#2226')
Row(sum(lo_revenue)=529881675.0, d_year=1992, p_brand1='MFGR#2227')
Row(sum(lo_revenue)=634006434.0, d_year=1992, p_brand1='MFGR#2228')
Row(sum(lo_revenue)=414651796.0, d_year=1993, p_brand1='MFGR#2221')
Row(sum(lo_revenue)=447655760.0, d_year=1993, p_brand1='MFGR#2222')
Row(sum(lo_revenue)=495505084.0, d_year=1993, p_brand1='MFGR#2223')
Row(sum(lo_revenue)=568156784.0, d_year=1993, p_brand1='MFGR#2224')
Row(sum(lo_revenue)=447759756.0, d_year=1993, p_brand1='MFGR#2225')
Row(sum(lo_revenue)=543082796.0, d_year=1993, p_brand1='MFGR#2226')
Row(sum(lo_revenue)=423746446.0, d_year=1993, p_brand1='MFGR#2227')
Row(sum(lo_revenue)=594536267.0, d_year=1993, p_brand1='MFGR#2228')
Row(sum(lo_revenue)=511649118.0, d_year=1994, p_brand1='MFGR#2221')
Row(sum(lo_revenue)=488037260.0, d_year=1994, p_brand1='MFGR#2222')
Row(sum(lo_revenue)=591589474.0, d_year=1994, p_brand1='MFGR#2223')
Row(sum(lo_revenue)=417515337.0, d_year=1994, p_brand1='MFGR#2224')
Row(sum(lo_revenue)=541535753.0, d_year=1994, p_brand1='MFGR#2225')
Row(sum(lo_revenue)=484164270.0, d_year=1994, p_brand1='MFGR#2226')
Row(sum(lo_revenue)=480666391.0, d_year=1994, p_brand1='MFGR#2227')
Row(sum(lo_revenue)=557263945.0, d_year=1994, p_brand1='MFGR#2228')
Row(sum(lo_revenue)=533668888.0, d_year=1995, p_brand1='MFGR#2221')
Row(sum(lo_revenue)=531865727.0, d_year=1995, p_brand1='MFGR#2222')
Row(sum(lo_revenue)=405554768.0, d_year=1995, p_brand1='MFGR#2223')
Row(sum(lo_revenue)=433895830.0, d_year=1995, p_brand1='MFGR#2224')
Row(sum(lo_revenue)=538209750.0, d_year=1995, p_brand1='MFGR#2225')
Row(sum(lo_revenue)=574775672.0, d_year=1995, p_brand1='MFGR#2226')
Row(sum(lo_revenue)=527126194.0, d_year=1995, p_brand1='MFGR#2227')
Row(sum(lo_revenue)=557217316.0, d_year=1995, p_brand1='MFGR#2228')
Row(sum(lo_revenue)=613202697.0, d_year=1996, p_brand1='MFGR#2221')
Row(sum(lo_revenue)=583177135.0, d_year=1996, p_brand1='MFGR#2222')
Row(sum(lo_revenue)=501405242.0, d_year=1996, p_brand1='MFGR#2223')
Row(sum(lo_revenue)=489775322.0, d_year=1996, p_brand1='MFGR#2224')
Row(sum(lo_revenue)=504494517.0, d_year=1996, p_brand1='MFGR#2225')
Row(sum(lo_revenue)=621826250.0, d_year=1996, p_brand1='MFGR#2226')
Row(sum(lo_revenue)=552415002.0, d_year=1996, p_brand1='MFGR#2227')
Row(sum(lo_revenue)=499509195.0, d_year=1996, p_brand1='MFGR#2228')
Row(sum(lo_revenue)=612522797.0, d_year=1997, p_brand1='MFGR#2221')
Row(sum(lo_revenue)=534706182.0, d_year=1997, p_brand1='MFGR#2222')
Row(sum(lo_revenue)=519016980.0, d_year=1997, p_brand1='MFGR#2223')
Row(sum(lo_revenue)=485032303.0, d_year=1997, p_brand1='MFGR#2224')
Row(sum(lo_revenue)=486333253.0, d_year=1997, p_brand1='MFGR#2225')
Row(sum(lo_revenue)=576014434.0, d_year=1997, p_brand1='MFGR#2226')
Row(sum(lo_revenue)=493552331.0, d_year=1997, p_brand1='MFGR#2227')
Row(sum(lo_revenue)=624814436.0, d_year=1997, p_brand1='MFGR#2228')
Row(sum(lo_revenue)=273657420.0, d_year=1998, p_brand1='MFGR#2221')
Row(sum(lo_revenue)=308256107.0, d_year=1998, p_brand1='MFGR#2222')
Row(sum(lo_revenue)=291869785.0, d_year=1998, p_brand1='MFGR#2223')
Row(sum(lo_revenue)=321625794.0, d_year=1998, p_brand1='MFGR#2224')
Row(sum(lo_revenue)=351736826.0, d_year=1998, p_brand1='MFGR#2225')
Row(sum(lo_revenue)=348821816.0, d_year=1998, p_brand1='MFGR#2226')
Row(sum(lo_revenue)=295797157.0, d_year=1998, p_brand1='MFGR#2227')
Row(sum(lo_revenue)=322069678.0, d_year=1998, p_brand1='MFGR#2228')
