Row(c_city='UNITED ST4', s_city='UNITED ST7', d_year=1992, revenue=87714910.0)
Row(c_city='UNITED ST7', s_city='UNITED ST0', d_year=1992, revenue=85302594.0)
Row(c_city='UNITED ST6', s_city='UNITED ST7', d_year=1992, revenue=79189805.0)
Row(c_city='UNITED ST4', s_city='UNITED ST3', d_year=1992, revenue=71557073.0)
Row(c_city='UNITED ST8', s_city='UNITED ST5', d_year=1992, revenue=70164679.0)
Row(c_city='UNITED ST2', s_city='UNITED ST4', d_year=1992, revenue=69350484.0)
Row(c_city='UNITED ST8', s_city='UNITED ST0', d_year=1992, revenue=69226290.0)
Row(c_city='UNITED ST2', s_city='UNITED ST0', d_year=1992, revenue=69137659.0)
Row(c_city='UNITED ST8', s_city='UNITED ST1', d_year=1992, revenue=68218860.0)
Row(c_city='UNITED ST9', s_city='UNITED ST8', d_year=1992, revenue=67550684.0)
Row(c_city='UNITED ST4', s_city='UNITED ST0', d_year=1992, revenue=67498049.0)
Row(c_city='UNITED ST2', s_city='UNITED ST5', d_year=1992, revenue=66930230.0)
Row(c_city='UNITED ST3', s_city='UNITED ST8', d_year=1992, revenue=66923509.0)
Row(c_city='UNITED ST6', s_city='UNITED ST8', d_year=1992, revenue=66847421.0)
Row(c_city='UNITED ST8', s_city='UNITED ST7', d_year=1992, revenue=66170614.0)
Row(c_city='UNITED ST6', s_city='UNITED ST0', d_year=1992, revenue=65068369.0)
Row(c_city='UNITED ST9', s_city='UNITED ST0', d_year=1992, revenue=64314844.0)
Row(c_city='UNITED ST9', s_city='UNITED ST5', d_year=1992, revenue=60656697.0)
Row(c_city='UNITED ST2', s_city='UNITED ST8', d_year=1992, revenue=57356882.0)
Row(c_city='UNITED ST1', s_city='UNITED ST7', d_year=1992, revenue=56823970.0)
Row(c_city='UNITED ST0', s_city='UNITED ST7', d_year=1992, revenue=56301647.0)
Row(c_city='UNITED ST4', s_city='UNITED ST4', d_year=1992, revenue=56100308.0)
Row(c_city='UNITED ST9', s_city='UNITED ST9', d_year=1992, revenue=56015131.0)
Row(c_city='UNITED ST3', s_city='UNITED ST4', d_year=1992, revenue=55745416.0)
Row(c_city='UNITED ST9', s_city='UNITED ST3', d_year=1992, revenue=55695023.0)
Row(c_city='UNITED ST5', s_city='UNITED ST5', d_year=1992, revenue=55463463.0)
Row(c_city='UNITED ST0', s_city='UNITED ST0', d_year=1992, revenue=54483918.0)
Row(c_city='UNITED ST7', s_city='UNITED ST8', d_year=1992, revenue=54072788.0)
Row(c_city='UNITED ST7', s_city='UNITED ST7', d_year=1992, revenue=53694432.0)
Row(c_city='UNITED ST7', s_city='UNITED ST2', d_year=1992, revenue=53230306.0)
Row(c_city='UNITED ST8', s_city='UNITED ST3', d_year=1992, revenue=52982040.0)
Row(c_city='UNITED ST5', s_city='UNITED ST7', d_year=1992, revenue=52720769.0)
Row(c_city='UNITED ST2', s_city='UNITED ST1', d_year=1992, revenue=52596613.0)
Row(c_city='UNITED ST4', s_city='UNITED ST6', d_year=1992, revenue=51590522.0)
Row(c_city='UNITED ST7', s_city='UNITED ST5', d_year=1992, revenue=51472731.0)
Row(c_city='UNITED ST8', s_city='UNITED ST8', d_year=1992, revenue=51100631.0)
Row(c_city='UNITED ST9', s_city='UNITED ST1', d_year=1992, revenue=50696709.0)
Row(c_city='UNITED ST4', s_city='UNITED ST2', d_year=1992, revenue=49001373.0)
Row(c_city='UNITED ST8', s_city='UNITED ST2', d_year=1992, revenue=48791465.0)
Row(c_city='UNITED ST9', s_city='UNITED ST6', d_year=1992, revenue=48557154.0)
Row(c_city='UNITED ST3', s_city='UNITED ST0', d_year=1992, revenue=48108970.0)
Row(c_city='UNITED ST7', s_city='UNITED ST3', d_year=1992, revenue=47850233.0)
Row(c_city='UNITED ST1', s_city='UNITED ST8', d_year=1992, revenue=47617410.0)
Row(c_city='UNITED ST2', s_city='UNITED ST6', d_year=1992, revenue=47434804.0)
Row(c_city='UNITED ST0', s_city='UNITED ST2', d_year=1992, revenue=46990012.0)
Row(c_city='UNITED ST4', s_city='UNITED ST1', d_year=1992, revenue=46161826.0)
Row(c_city='UNITED ST2', s_city='UNITED ST7', d_year=1992, revenue=45691859.0)
Row(c_city='UNITED ST4', s_city='UNITED ST8', d_year=1992, revenue=45677625.0)
Row(c_city='UNITED ST3', s_city='UNITED ST5', d_year=1992, revenue=45092156.0)
Row(c_city='UNITED ST8', s_city='UNITED ST9', d_year=1992, revenue=44476025.0)
Row(c_city='UNITED ST5', s_city='UNITED ST6', d_year=1992, revenue=44357146.0)
Row(c_city='UNITED ST0', s_city='UNITED ST3', d_year=1992, revenue=44187151.0)
Row(c_city='UNITED ST6', s_city='UNITED ST3', d_year=1992, revenue=42930607.0)
Row(c_city='UNITED ST3', s_city='UNITED ST1', d_year=1992, revenue=42668855.0)
Row(c_city='UNITED ST1', s_city='UNITED ST0', d_year=1992, revenue=42463557.0)
Row(c_city='UNITED ST3', s_city='UNITED ST7', d_year=1992, revenue=42347309.0)
Row(c_city='UNITED ST6', s_city='UNITED ST6', d_year=1992, revenue=41859083.0)
Row(c_city='UNITED ST5', s_city='UNITED ST8', d_year=1992, revenue=41528214.0)
Row(c_city='UNITED ST7', s_city='UNITED ST4', d_year=1992, revenue=41281633.0)
Row(c_city='UNITED ST5', s_city='UNITED ST0', d_year=1992, revenue=40306718.0)
Row(c_city='UNITED ST1', s_city='UNITED ST6', d_year=1992, revenue=40029624.0)
Row(c_city='UNITED ST9', s_city='UNITED ST2', d_year=1992, revenue=38856373.0)
Row(c_city='UNITED ST3', s_city='UNITED ST2', d_year=1992, revenue=37978817.0)
Row(c_city='UNITED ST5', s_city='UNITED ST4', d_year=1992, revenue=37855333.0)
Row(c_city='UNITED ST4', s_city='UNITED ST5', d_year=1992, revenue=37081160.0)
Row(c_city='UNITED ST5', s_city='UNITED ST3', d_year=1992, revenue=37068978.0)
Row(c_city='UNITED ST2', s_city='UNITED ST3', d_year=1992, revenue=36949229.0)
Row(c_city='UNITED ST8', s_city='UNITED ST6', d_year=1992, revenue=35982009.0)
Row(c_city='UNITED ST5', s_city='UNITED ST2', d_year=1992, revenue=35025241.0)
Row(c_city='UNITED ST4', s_city='UNITED ST9', d_year=1992, revenue=34371610.0)
Row(c_city='UNITED ST8', s_city='UNITED ST4', d_year=1992, revenue=33416870.0)
Row(c_city='UNITED ST1', s_city='UNITED ST2', d_year=1992, revenue=33375350.0)
Row(c_city='UNITED ST7', s_city='UNITED ST9', d_year=1992, revenue=32087874.0)
Row(c_city='UNITED ST9', s_city='UNITED ST4', d_year=1992, revenue=32082548.0)
Row(c_city='UNITED ST3', s_city='UNITED ST9', d_year=1992, revenue=31119064.0)
Row(c_city='UNITED ST2', s_city='UNITED ST9', d_year=1992, revenue=30638392.0)
Row(c_city='UNITED ST0', s_city='UNITED ST6', d_year=1992, revenue=29104885.0)
Row(c_city='UNITED ST3', s_city='UNITED ST6', d_year=1992, revenue=27368072.0)
Row(c_city='UNITED ST0', s_city='UNITED ST4', d_year=1992, revenue=26976573.0)
Row(c_city='UNITED ST6', s_city='UNITED ST1', d_year=1992, revenue=24537636.0)
Row(c_city='UNITED ST7', s_city='UNITED ST1', d_year=1992, revenue=23696714.0)
Row(c_city='UNITED ST0', s_city='UNITED ST8', d_year=1992, revenue=23405830.0)
Row(c_city='UNITED ST5', s_city='UNITED ST1', d_year=1992, revenue=22475112.0)
Row(c_city='UNITED ST1', s_city='UNITED ST4', d_year=1992, revenue=22356360.0)
Row(c_city='UNITED ST1', s_city='UNITED ST3', d_year=1992, revenue=21934184.0)
Row(c_city='UNITED ST7', s_city='UNITED ST6', d_year=1992, revenue=21927070.0)
Row(c_city='UNITED ST6', s_city='UNITED ST4', d_year=1992, revenue=21664090.0)
Row(c_city='UNITED ST6', s_city='UNITED ST2', d_year=1992, revenue=21249638.0)
Row(c_city='UNITED ST3', s_city='UNITED ST3', d_year=1992, revenue=20810083.0)
Row(c_city='UNITED ST9', s_city='UNITED ST7', d_year=1992, revenue=20698454.0)
Row(c_city='UNITED ST6', s_city='UNITED ST5', d_year=1992, revenue=19100536.0)
Row(c_city='UNITED ST1', s_city='UNITED ST5', d_year=1992, revenue=18661146.0)
Row(c_city='UNITED ST1', s_city='UNITED ST9', d_year=1992, revenue=17358557.0)
Row(c_city='UNITED ST0', s_city='UNITED ST1', d_year=1992, revenue=15941813.0)
Row(c_city='UNITED ST1', s_city='UNITED ST1', d_year=1992, revenue=15353628.0)
Row(c_city='UNITED ST5', s_city='UNITED ST9', d_year=1992, revenue=15011245.0)
Row(c_city='UNITED ST2', s_city='UNITED ST2', d_year=1992, revenue=14176515.0)
Row(c_city='UNITED ST0', s_city='UNITED ST9', d_year=1992, revenue=9024431.0)
Row(c_city='UNITED ST6', s_city='UNITED ST9', d_year=1992, revenue=8285130.0)
Row(c_city='UNITED ST0', s_city='UNITED ST5', d_year=1992, revenue=6399006.0)
Row(c_city='UNITED ST8', s_city='UNITED ST8', d_year=1993, revenue=97545202.0)
Row(c_city='UNITED ST8', s_city='UNITED ST7', d_year=1993, revenue=91274692.0)
Row(c_city='UNITED ST2', s_city='UNITED ST4', d_year=1993, revenue=85682722.0)
Row(c_city='UNITED ST7', s_city='UNITED ST6', d_year=1993, revenue=74352436.0)
Row(c_city='UNITED ST8', s_city='UNITED ST0', d_year=1993, revenue=73301393.0)
Row(c_city='UNITED ST4', s_city='UNITED ST3', d_year=1993, revenue=72402506.0)
Row(c_city='UNITED ST7', s_city='UNITED ST8', d_year=1993, revenue=71394595.0)
Row(c_city='UNITED ST2', s_city='UNITED ST7', d_year=1993, revenue=70876440.0)
Row(c_city='UNITED ST2', s_city='UNITED ST3', d_year=1993, revenue=69623198.0)
Row(c_city='UNITED ST6', s_city='UNITED ST8', d_year=1993, revenue=68231256.0)
Row(c_city='UNITED ST3', s_city='UNITED ST8', d_year=1993, revenue=67965729.0)
Row(c_city='UNITED ST2', s_city='UNITED ST0', d_year=1993, revenue=64563802.0)
Row(c_city='UNITED ST4', s_city='UNITED ST6', d_year=1993, revenue=64529136.0)
Row(c_city='UNITED ST6', s_city='UNITED ST3', d_year=1993, revenue=63737959.0)
Row(c_city='UNITED ST0', s_city='UNITED ST8', d_year=1993, revenue=63687284.0)
Row(c_city='UNITED ST8', s_city='UNITED ST5', d_year=1993, revenue=63294615.0)
Row(c_city='UNITED ST0', s_city='UNITED ST6', d_year=1993, revenue=59769570.0)
Row(c_city='UNITED ST9', s_city='UNITED ST1', d_year=1993, revenue=58075373.0)
Row(c_city='UNITED ST7', s_city='UNITED ST4', d_year=1993, revenue=55380068.0)
Row(c_city='UNITED ST4', s_city='UNITED ST0', d_year=1993, revenue=54808379.0)
Row(c_city='UNITED ST9', s_city='UNITED ST6', d_year=1993, revenue=53903769.0)
Row(c_city='UNITED ST6', s_city='UNITED ST0', d_year=1993, revenue=53739128.0)
Row(c_city='UNITED ST6', s_city='UNITED ST7', d_year=1993, revenue=53307855.0)
Row(c_city='UNITED ST5', s_city='UNITED ST0', d_year=1993, revenue=52900839.0)
Row(c_city='UNITED ST5', s_city='UNITED ST8', d_year=1993, revenue=52405466.0)
Row(c_city='UNITED ST3', s_city='UNITED ST6', d_year=1993, revenue=52242302.0)
Row(c_city='UNITED ST5', s_city='UNITED ST6', d_year=1993, revenue=52177601.0)
Row(c_city='UNITED ST2', s_city='UNITED ST8', d_year=1993, revenue=51928912.0)
Row(c_city='UNITED ST6', s_city='UNITED ST6', d_year=1993, revenue=50736863.0)
Row(c_city='UNITED ST9', s_city='UNITED ST8', d_year=1993, revenue=50589292.0)
Row(c_city='UNITED ST8', s_city='UNITED ST4', d_year=1993, revenue=48713496.0)
Row(c_city='UNITED ST3', s_city='UNITED ST2', d_year=1993, revenue=48559808.0)
Row(c_city='UNITED ST3', s_city='UNITED ST1', d_year=1993, revenue=48528743.0)
Row(c_city='UNITED ST4', s_city='UNITED ST5', d_year=1993, revenue=48271111.0)
Row(c_city='UNITED ST4', s_city='UNITED ST7', d_year=1993, revenue=47684033.0)
Row(c_city='UNITED ST5', s_city='UNITED ST4', d_year=1993, revenue=47267068.0)
Row(c_city='UNITED ST7', s_city='UNITED ST0', d_year=1993, revenue=46782969.0)
Row(c_city='UNITED ST8', s_city='UNITED ST6', d_year=1993, revenue=46522359.0)
Row(c_city='UNITED ST9', s_city='UNITED ST7', d_year=1993, revenue=46437927.0)
Row(c_city='UNITED ST7', s_city='UNITED ST3', d_year=1993, revenue=46283505.0)
Row(c_city='UNITED ST7', s_city='UNITED ST2', d_year=1993, revenue=45641915.0)
Row(c_city='UNITED ST9', s_city='UNITED ST3', d_year=1993, revenue=45568735.0)
Row(c_city='UNITED ST5', s_city='UNITED ST5', d_year=1993, revenue=45226291.0)
Row(c_city='UNITED ST7', s_city='UNITED ST5', d_year=1993, revenue=44952845.0)
Row(c_city='UNITED ST5', s_city='UNITED ST7', d_year=1993, revenue=44749848.0)
Row(c_city='UNITED ST6', s_city='UNITED ST2', d_year=1993, revenue=44710564.0)
Row(c_city='UNITED ST1', s_city='UNITED ST7', d_year=1993, revenue=43984346.0)
Row(c_city='UNITED ST2', s_city='UNITED ST6', d_year=1993, revenue=43714744.0)
Row(c_city='UNITED ST4', s_city='UNITED ST8', d_year=1993, revenue=43653139.0)
Row(c_city='UNITED ST7', s_city='UNITED ST1', d_year=1993, revenue=43203222.0)
Row(c_city='UNITED ST1', s_city='UNITED ST1', d_year=1993, revenue=43157347.0)
Row(c_city='UNITED ST5', s_city='UNITED ST3', d_year=1993, revenue=42842066.0)
Row(c_city='UNITED ST1', s_city='UNITED ST8', d_year=1993, revenue=42611023.0)
Row(c_city='UNITED ST8', s_city='UNITED ST3', d_year=1993, revenue=42276410.0)
Row(c_city='UNITED ST9', s_city='UNITED ST5', d_year=1993, revenue=41896975.0)
Row(c_city='UNITED ST7', s_city='UNITED ST9', d_year=1993, revenue=41775757.0)
