Row(c_city='UNITED KI5', s_city='UNITED KI1', d_year=1992, revenue=29182477.0)
Row(c_city='UNITED KI5', s_city='UNITED KI5', d_year=1992, revenue=25076763.0)
Row(c_city='UNITED KI1', s_city='UNITED KI5', d_year=1992, revenue=24052028.0)
Row(c_city='UNITED KI1', s_city='UNITED KI1', d_year=1992, revenue=19853200.0)
Row(c_city='UNITED KI5', s_city='UNITED KI1', d_year=1993, revenue=40522453.0)
Row(c_city='UNITED KI5', s_city='UNITED KI5', d_year=1993, revenue=29943583.0)
Row(c_city='UNITED KI1', s_city='UNITED KI5', d_year=1993, revenue=25153082.0)
Row(c_city='UNITED KI1', s_city='UNITED KI1', d_year=1993, revenue=12524913.0)
Row(c_city='UNITED KI1', s_city='UNITED KI5', d_year=1994, revenue=40666503.0)
Row(c_city='UNITED KI5', s_city='UNITED KI1', d_year=1994, revenue=30337433.0)
Row(c_city='UNITED KI1', s_city='UNITED KI1', d_year=1994, revenue=23773470.0)
Row(c_city='UNITED KI5', s_city='UNITED KI5', d_year=1994, revenue=17547940.0)
Row(c_city='UNITED KI1', s_city='UNITED KI5', d_year=1995, revenue=28445919.0)
Row(c_city='UNITED KI5', s_city='UNITED KI1', d_year=1995, revenue=24653682.0)
Row(c_city='UNITED KI1', s_city='UNITED KI1', d_year=1995, revenue=19241963.0)
Row(c_city='UNITED KI5', s_city='UNITED KI5', d_year=1995, revenue=8428225.0)
Row(c_city='UNITED KI5', s_city='UNITED KI1', d_year=1996, revenue=48178089.0)
Row(c_city='UNITED KI5', s_city='UNITED KI5', d_year=1996, revenue=37120892.0)
Row(c_city='UNITED KI1', s_city='UNITED KI5', d_year=1996, revenue=33956995.0)
Row(c_city='UNITED KI1', s_city='UNITED KI1', d_year=1996, revenue=18262291.0)
Row(c_city='UNITED KI5', s_city='UNITED KI1', d_year=1997, revenue=30375098.0)
Row(c_city='UNITED KI1', s_city='UNITED KI5', d_year=1997, revenue=24840752.0)
Row(c_city='UNITED KI1', s_city='UNITED KI1', d_year=1997, revenue=23767210.0)
Row(c_city='UNITED KI5', s_city='UNITED KI5', d_year=1997, revenue=16979138.0)
